age,agecat,degree,educ,emailhrs,hrs1,ndegree,netcat,nethrs,sex,sphrs1,srcheng2,tvhours,usecomp,usemail,usenet,useweb,webhrs,hapmar,happy,speduc,rincome,life,income,maeduc,paeduc,marital,postlife,pres96,richwork,satjob,sibs,spdeg,spwrksta,vote96,wrkstat,zodiac,incomdol,rincdol,husbeduc,wifeduc,husbhr,wifehr,husbft,wifeft,cpldifed,prtdifed
29,1,0,8,-1,5,0,1,-1,2,-1,0,-1,0,0,0,0,-1,0,2,97,9,2,9,97,98,5,0,0,1,2,4,7,0,2,2,9,11250,11250, , , , , , , , 
43,3,1,12,-1,-1,1,1,-1,1,-1,0,3,1,0,0,0,-1,0,3,97,0,0,17,11,12,2,1,0,0,1,3,7,0,2,7,10,37500,-2, , , , , , , ,0
33,2,0,7,0,-1,0,3,2,2,40,6,2,1,0,1,1,2,1,1,14,0,1,18,12,14,1,8,1,2,1,2,2,1,1,7,11,45000,-2,14,7,40, ,1,0,7,2
83,5,0,10,-1,-1,0,1,-1,2,-1,0,12,0,0,0,0,-1,0,9,97,0,0,1,98,97,2,8,0,0,1,2,7,0,2,5,8,500,-2, , , , , , , , 
78,5,0,7,-1,-1,0,1,-1,2,-1,0,4,0,0,0,0,-1,0,2,97,0,2,2,98,98,2,8,1,0,2,6,7,0,1,5,8,2000,-2, , , , , , , , 
84,5,1,12,-1,-1,1,1,-1,2,-1,0,-1,0,0,0,0,-1,0,2,97,0,1,5,9,0,2,0,1,0,0,6,7,0,1,5,2,5500,-2, , , , , , , ,-8
32,2,0,11,-1,40,0,1,-1,2,-1,0,5,0,0,0,0,-1,0,2,97,9,0,9,10,11,5,1,0,0,2,5,7,0,8,1,11,11250,11250, , , , , , , ,2
76,5,0,9,-3,-1,0,9,-3,2,-1,99,-1,9,9,9,9,-3,0,3,97,0,2,24,97,97,2,0,1,0,0,12,7,0,1,8,11,-1,-2, , , , , , , , 
47,3,4,19,-1,40,2,1,-1,1,40,0,2,1,0,0,0,-1,1,2,19,19,0,23,12,12,1,1,1,0,2,6,3,1,1,1,1,110000,37500,19,19,40,40,1,1,0,0
29,1,4,18,-1,40,2,1,-1,2,-1,0,4,1,0,0,0,-1,0,2,97,17,2,20,12,98,5,1,1,8,2,1,7,0,1,1,11,67500,55000, , , , , , , , 
40,3,1,15,0,-1,1,2,.333333333333333,1,40,0,3,1,0,1,1,.333333333333333,3,3,15,24,0,98,11,13,1,1,1,0,3,2,1,1,1,3,3,-2,-1,15,15, ,40,0,1,0,1
51,4,1,13,-1,27,1,1,-1,2,-1,0,-1,1,0,0,0,-1,2,2,12,3,1,19,13,8,1,0,1,1,1,7,1,5,1,2,11,55000,3500,12,13, ,27,0,0,-1,-5
53,4,3,16,3,40,2,4,5,2,-1,1,1,1,1,1,1,2,0,3,97,18,2,18,7,3,4,1,1,2,2,8,7,0,1,1,3,45000,45000, , , , , , , ,-5
70,5,0,13,-1,-1,0,1,-1,1,-1,0,-1,0,0,0,0,-1,0,3,97,24,2,11,4,97,2,0,1,0,1,6,7,0,1,5,6,16250,-1, , , , , , , , 
45,3,2,14,-1,70,2,1,-1,1,-1,0,1,0,0,0,0,-1,1,1,12,21,0,21,12,12,1,1,0,0,2,1,1,7,2,1,7,82500,82500,14,12,70, ,1,0,2,0
46,3,9,99,0,43, ,2,.05,2,-1,0,2,1,0,1,1,.05,0,2,97,16,0,19,12,10,3,1,1,0,2,2,7,0,1,1,9,55000,32500, , , , , , , ,-2
39,2,4,19,15,55,2,5,20,1,-1,12,0,1,1,1,1,5,0,2,97,24,1,24,12,12,3,1,8,1,2,6,7,0,1,1,9,-1,-1, , , , , , , ,0
47,3,4,19,2,40,2,5,32,1,40,42,2,1,1,1,1,30,1,1,19,24,0,24,12,16,1,1,8,0,2,4,4,1,1,1,11,-1,-1,19,19,40,40,1,1,0,4
45,3,3,16,1,45,2,4,6,1,60,13,-1,1,1,1,1,5,2,2,16,20,1,22,12,97,1,0,2,1,2,3,3,1,1,1,6,100000,82500,16,16,45,60,1,1,0, 
50,4,3,16,0,40,2,4,5,1,-1,14,-1,1,0,1,1,5,1,1,16,18,2,18,10,97,1,0,0,1,2,5,3,7,3,1,99,45000,37500,16,16,40, ,1,0,0, 
47,3,3,16,3,50,2,4,6,2,-1,0,1,1,1,1,1,3,0,1,97,20,0,20,14,14,3,1,1,2,1,2,7,0,1,1,5,67500,67500, , , , , , , ,0
72,5,3,16,10,-1,2,5,16,2,-1,15,4,1,1,1,1,6,1,2,18,18,2,19,99,99,1,1,1,0,2,3,4,7,1,5,5,55000,45000,16,18, , ,0,0,-2, 
29,1,1,15,40,40,1,5,50,1,-1,9,3,1,1,1,1,10,0,2,97,10,2,24,12,16,5,1,0,2,1,1,7,0,2,1,4,-1,13750, , , , , , , ,4
26,1,2,16,7,30,2,4,9,2,30,1,-1,1,1,1,1,2,1,1,15,13,2,19,12,16,1,0,1,2,2,1,1,2,1,2,1,55000,21250,16,15,30,30,0,0,1,4
39,2,3,16,.666666666666667,45,2,3,1.66666666666667,2,-1,1,1,1,1,1,1,1,0,2,97,24,1,17,12,97,4,1,1,1,1,3,7,0,1,1,1,37500,-1, , , , , , , , 
60,5,0,8,-1,-1,0,1,-1,2,-1,0,3,0,0,0,0,-1,0,2,97,0,0,14,98,9,4,8,1,0,0,0,7,0,1,5,11,23750,-2, , , , , , , , 
47,3,1,11,-1,-1,0,1,-1,1,60,0,5,0,0,0,0,-1,2,1,98,10,2,98,12,98,1,2,0,0,1,8,8,1,2,7,1,-2,13750, ,11,60, ,1,0, , 
55,4,1,11,-1,-1,0,1,-1,1,-1,0,-1,0,0,0,0,-1,0,3,97,0,3,10,12,98,2,0,0,1,1,6,7,0,2,8,12,13750,-2, , , , , , , , 
43,3,1,13,-1,-1,0,1,-1,1,-1,0,1,0,0,0,0,-1,0,3,97,0,0,1,3,99,4,1,1,1,2,6,7,0,1,8,4,500,-2, , , , , , , , 
25,1,1,13,-1,-1,1,1,-1,1,-1,0,4,0,0,0,0,-1,0,1,97,0,1,12,11,97,5,1,1,0,1,6,7,0,1,7,6,18750,-2, , , , , , , , 
37,2,1,12,-1,40,1,1,-1,1,-1,0,3,0,0,0,0,-1,0,2,97,14,2,14,13,8,3,2,0,1,2,5,7,0,2,1,7,23750,23750, , , , , , , ,-4
36,2,0,11,-1,-1,0,1,-1,2,-1,0,12,0,0,0,0,-1,0,9,97,0,0,1,98,97,5,1,0,0,4,12,7,0,2,7,5,500,-2, , , , , , , , 
23,1,1,16,-1,21,1,1,-1,2,-1,0,-1,1,0,0,0,-1,0,1,97,3,2,3,14,16,5,0,0,1,1,2,7,0,2,2,8,3500,3500, , , , , , , ,2
30,2,1,15,-1,55,1,1,-1,2,40,0,-1,0,0,0,0,-1,2,1,14,9,1,15,12,97,1,0,0,0,1,12,1,1,2,1,11,27500,11250,15,14,55,40,1,1,1, 
32,2,4,19,.5,45,2,3,1.5,2,50,13,1,1,1,1,1,1,1,2,20,8,1,16,97,19,1,2,8,0,2,1,4,1,1,1,12,32500,9000,19,20,45,50,1,1,-1, 
50,4,1,14,20,32,1,5,20,1,-1,0,2,1,1,1,0,0,0,3,97,10,1,10,12,98,3,1,0,2,3,10,7,0,2,1,6,13750,13750, , , , , , , , 
31,2,3,16,3,40,2,4,8,1,-1,2,1,1,1,1,1,5,0,9,97,14,0,14,12,6,5,1,3,0,1,4,7,0,1,1,9,23750,23750, , , , , , , ,-6
60,5,1,13,-1,-1,1,1,-1,1,-1,0,-1,0,0,0,0,-1,0,3,97,0,2,12,7,9,2,0,1,1,0,4,7,0,1,5,11,18750,-2, , , , , , , ,2
76,5,0,7,-1,-1,0,1,-1,2,-1,0,12,0,0,0,0,-1,0,9,97,0,0,1,98,8,5,1,2,1,1,4,7,0,1,5,5,500,-2, , , , , , , , 
87,5,0,7,-1,-1,0,1,-1,1,-1,0,10,0,0,0,0,-1,0,2,97,98,2,6,98,98,2,1,1,1,1,3,7,0,1,5,12,6500,-2, , , , , , , , 
32,2,2,14,-1,46,2,1,-1,1,-1,0,-1,1,0,0,0,-1,0,2,97,12,3,15,12,97,5,0,1,0,1,0,7,0,1,1,4,27500,18750, , , , , , , , 
58,4,1,12,0,40,1,4,5,1,-1,0,-1,1,0,1,1,5,0,3,97,2,1,2,12,12,5,0,1,0,1,3,7,0,1,1,5,2000,2000, , , , , , , ,0
40,3,1,14,1,50,1,2,1,1,-1,0,1,1,1,1,0,0,0,9,97,15,0,15,6,97,5,1,0,0,1,3,7,0,2,1,5,27500,27500, , , , , , , , 
52,4,1,14,3,35,1,4,8,2,50,1,1,1,1,1,1,5,2,2,16,24,1,24,12,9,1,1,2,1,2,2,3,1,1,1,11,-1,-1,14,16,35,50,1,1,-2,-3
65,5,1,12,5,-1,1,4,7,1,-1,0,-1,1,1,1,1,2,0,1,97,0,2,15,4,6,2,0,1,0,9,0,7,0,1,7,99,27500,-2, , , , , , , ,2
58,4,4,20,1,40,2,3,2,2,40,1,2,1,1,1,1,1,1,1,20,23,0,23,10,14,1,1,3,0,1,3,4,1,1,1,8,110000,110000,20,20,40,40,1,1,0,4
48,3,3,16,-1,40,2,1,-1,1,60,0,1,0,0,0,0,-1,1,2,12,17,0,23,12,15,1,1,1,0,1,2,1,1,1,1,6,110000,37500,12,16,60,40,1,1,-4,3
63,5,1,12,-1,-1,1,1,-1,1,50,0,6,0,0,0,0,-1,1,2,12,0,2,16,12,4,1,8,1,0,9,8,1,1,1,7,11,32500,-2,12,12,50, ,1,0,0,-8
62,5,0,10,-1,20,0,1,-1,1,20,0,-1,0,0,0,0,-1,2,2,12,9,2,12,98,98,1,0,0,2,2,5,1,2,2,2,4,18750,11250,12,10,20,20,0,0,2, 
48,3,3,16,.0833333333333333,40,2,2,.583333333333333,2,-1,0,-1,1,1,1,1,.5,0,1,97,21,1,21,12,11,5,0,0,2,4,1,7,0,2,1,8,82500,82500, , , , , , , ,-1
19,1,0,11,0,20,0,3,2,2,-1,1,-1,1,0,1,1,2,0,2,97,2,1,98,12,12,5,0,0,1,4,2,7,0,3,2,5,-2,2000, , , , , , , ,0
42,3,0,10,-3,40,0,9,-3,2,37,99,2,1,9,9,9,-3,1,2,12,17,2,18,97,9,1,1,3,1,2,1,1,1,1,1,10,45000,37500,10,12,40,37,1,1,-2, 
30,2,1,12,.5,45,1,3,1.5,2,-1,0,2,0,1,1,1,1,0,2,97,17,2,17,12,12,5,1,0,1,2,2,7,0,2,1,12,37500,37500, , , , , , , ,0
36,2,1,14,2,40,1,3,2.5,2,18,0,5,1,1,1,1,.5,1,2,12,18,0,19,12,16,1,1,2,0,1,2,1,2,1,1,3,55000,45000,14,12,40,18,1,0,2,4
72,5,4,19,-1,-1,2,1,-1,2,-1,0,2,0,0,0,0,-1,1,1,12,0,0,24,4,4,1,1,2,0,1,3,1,5,1,5,12,-1,-2,19,12, , ,0,0,7,0
45,3,3,16,15,42,2,5,20,1,40,8,0,1,1,1,1,5,1,1,16,24,1,24,16,17,1,8,9,1,1,2,3,1,1,2,12,-1,-1,16,16,40,42,1,0,0,1
48,3,3,16,7,49,2,5,12,2,-1,1,1,1,1,1,1,5,0,1,97,21,0,21,12,12,2,1,2,0,2,11,7,0,1,1,11,82500,82500, , , , , , , ,0
50,4,4,99,1,40,2,5,11,2,40,1,2,1,1,1,1,10,1,1,99,22,2,23,12,99,1,2,1,1,2,2,9,1,1,1,5,110000,100000, , ,40,40,1,1, , 
39,2,3,16,10,70,2,5,11,2,32,1,99,1,1,1,1,1,1,1,12,1,0,2,16,16,1,2,1,0,2,1,1,2,1,1,6,2000,500,16,12,70,32,1,0,4,0
38,2,4,19,10,60,2,5,15,2,-1,13,1,1,1,1,1,5,0,9,97,21,0,23,17,18,5,1,1,0,2,3,7,0,1,1,7,110000,82500, , , , , , , ,1
40,3,3,17,2,40,2,3,3,2,-1,99,-1,1,1,1,1,1,0,2,97,18,2,18,20,97,5,0,1,1,2,0,7,0,1,1,3,45000,45000, , , , , , , , 
33,2,3,16,4,25,2,4,7,1,-1,2,1,1,1,1,1,3,0,2,97,8,1,8,16,18,5,1,3,2,4,4,7,0,1,2,12,9000,9000, , , , , , , ,2
56,4,0,8,0,-1,0,2,1,2,-1,9,-1,1,0,1,1,1,0,2,97,15,2,17,12,8,3,0,0,0,3,1,7,0,8,5,12,37500,27500, , , , , , , ,-4
43,3,1,13,-3,40,1,9,-3,1,-1,99,3,1,9,9,9,-3,0,9,97,18,0,18,16,16,5,2,1,0,1,2,7,0,1,1,8,45000,45000, , , , , , , ,0
28,1,0,11,-1,-1,0,1,-1,1,-1,0,6,0,0,0,0,-1,0,9,97,0,0,4,12,97,5,1,0,0,2,1,7,0,8,7,1,4500,-2, , , , , , , , 
77,5,1,12,-1,23,1,1,-1,1,-1,0,2,0,0,0,0,-1,0,2,97,3,0,6,4,4,2,1,1,0,1,3,7,0,1,2,5,6500,3500, , , , , , , ,0
38,2,0,11,-1,-1,0,1,-1,1,-1,0,10,0,0,0,0,-1,0,2,97,0,2,98,12,97,4,2,0,0,1,11,7,0,2,7,1,-2,-2, , , , , , , , 
40,3,4,16,-1,35,2,1,-1,1,40,0,-1,0,0,0,0,-1,1,1,14,9,2,22,12,12,1,0,0,1,1,5,1,1,2,1,4,100000,11250,14,16,40,35,1,1,-2,0
39,2,3,16,1,6,2,3,1.25,1,60,1,2,1,1,1,1,.25,2,2,16,3,2,23,12,12,1,1,2,1,2,3,3,1,1,2,11,110000,3500,16,16,60,6,1,0,0,0
30,2,4,19,30,60,2,5,60,2,-1,1,1,1,1,1,1,30,0,9,97,23,0,23,16,97,4,1,1,0,2,1,7,0,1,1,10,110000,110000, , , , , , , , 
39,2,3,17,2,-1,2,3,3,1,50,13,-1,1,1,1,1,1,1,2,14,15,2,23,14,13,1,0,3,1,1,2,2,1,1,3,1,110000,27500,14,17,50, ,1,0,-3,-1
78,5,1,12,-1,-1,1,1,-1,1,30,0,5,1,0,0,0,-1,1,1,17,0,2,15,16,6,1,1,2,0,2,5,4,2,1,5,7,27500,-2,17,12,30, ,0,0,5,-10
30,2,4,19,1,-1,2,4,9,1,50,1,11,1,1,1,1,8,1,2,19,0,0,23,14,14,1,1,2,0,2,2,4,1,1,7,4,110000,-2,19,19,50, ,1,0,0,0
20,1,0,9,-1,47,0,1,-1,2,-1,0,-1,0,0,0,0,-1,0,2,97,2,2,16,12,98,5,0,0,2,1,1,7,0,3,1,1,32500,2000, , , , , , , , 
21,1,0,10,1,21,0,3,2,2,-1,0,5,1,1,1,1,1,0,2,97,18,1,23,0,0,5,1,0,2,1,4,7,0,3,1,8,110000,55000, , , , , , , ,0
31,2,1,12,1,-1,1,3,1.5,1,60,0,2,1,1,1,1,.5,1,2,14,1,2,23,12,16,1,1,3,0,1,5,3,1,1,7,3,110000,500,14,12,60, ,1,0,2,4
45,3,4,18,0,40,2,2,.0833333333333333,1,-1,0,1,1,0,1,1,.0833333333333333,0,9,97,19,0,19,12,16,4,1,1,0,3,2,7,0,1,1,11,55000,55000, , , , , , , ,4
28,1,1,15,20,40,1,5,30,1,40,11,-1,1,1,1,1,10,1,1,14,17,1,18,12,12,1,0,1,2,1,4,2,1,1,1,3,45000,32500,14,15,40,40,1,1,-1,0
38,2,0,12,0,-1,0,3,2,1,-1,1,-1,1,0,1,1,2,0,2,97,15,2,16,12,97,3,0,0,1,3,2,7,0,2,3,3,32500,27500, , , , , , , , 
28,1,3,16,3,-1,2,3,4,2,-1,18,0,1,1,1,1,1,0,2,97,16,2,21,13,14,5,8,2,0,0,3,7,0,1,6,1,82500,37500, , , , , , , ,1
62,5,0,8,-1,-1,0,1,-1,2,-1,0,-1,0,0,0,0,-1,0,3,97,8,2,20,5,12,5,0,0,1,0,99,7,0,2,8,11,67500,9000, , , , , , , ,7
56,4,1,12,.0833333333333333,40,1,2,.0833333333333333,2,40,0,5,1,1,1,0,0,1,2,12,18,0,20,12,8,1,2,2,1,1,9,1,1,1,1,9,67500,55000,12,12,40,40,1,1,0,-4
42,3,1,13,-1,-1,1,1,-1,1,-1,0,-1,0,0,0,0,-1,0,2,97,3,2,3,10,10,5,0,1,1,1,3,7,0,1,7,11,3500,3500, , , , , , , ,0
66,5,0,10,-1,-1,0,1,-1,1,-1,0,8,0,0,0,0,-1,0,2,97,0,2,10,97,97,3,8,0,0,0,1,7,0,3,5,6,13750,-2, , , , , , , , 
53,4,1,13,-1,-1,1,1,-1,1,50,0,2,1,0,0,0,-1,1,2,14,0,0,20,12,13,1,1,0,0,1,3,1,1,2,7,4,67500,-2,14,13,50, ,1,0,1,1
50,4,2,14,-1,-1,2,1,-1,1,60,0,1,1,0,0,0,-1,2,3,18,0,0,23,16,16,1,1,2,0,1,3,4,1,1,7,6,110000,-2,18,14,60, ,1,0,4,0
35,2,0,11,-1,40,0,1,-1,2,25,0,11,0,0,0,0,-1,1,1,10,6,0,9,0,4,1,2,0,0,2,8,0,2,2,1,7,11250,6500,11,10,40,25,1,0,1,4
54,4,2,14,.166666666666667,40,2,2,.166666666666667,2,40,0,1,1,1,1,0,0,2,1,16,11,1,18,10,10,1,1,0,1,2,3,3,1,2,1,6,45000,16250,14,16,40,40,1,1,-2,0
36,2,1,14,4,-1,1,4,10,1,-1,2,4,1,1,1,1,6,2,2,15,0,0,19,14,12,1,1,2,0,3,1,1,3,1,7,12,55000,-2,15,14, , ,0,0,1,-2
48,3,3,17,3,45,2,4,5.5,1,18,1,-1,1,1,1,1,2.5,1,2,17,19,2,20,13,14,1,0,2,1,1,2,3,2,1,1,11,67500,55000,17,17,18,45,0,1,0,1
54,4,1,14,4,-1,1,4,6,1,31,1,3,1,1,1,1,2,1,1,14,0,1,15,12,12,1,1,2,0,0,2,2,2,1,6,11,27500,-2,14,14,31, ,0,0,0,0
38,2,3,16,10,-1,2,5,30,1,72,1,-1,1,1,1,1,20,1,2,16,4,2,20,20,16,1,0,8,0,1,2,3,1,1,7,1,67500,4500,16,16,72, ,1,0,0,-4
48,3,2,12,-1,21,1,1,-1,1,40,0,1,1,0,0,0,-1,2,1,12,9,0,19,4,97,1,1,2,0,2,6,1,1,1,2,10,55000,11250,12,12,40,21,1,0,0, 
29,1,2,15,2,56,2,3,4,2,-1,20,-1,1,1,1,1,2,0,2,97,19,1,19,12,12,5,0,0,1,1,2,7,0,2,1,5,55000,55000, , , , , , , ,0
26,1,1,13,-1,31,1,1,-1,2,-1,0,-1,0,0,0,0,-1,0,2,97,15,2,15,12,16,3,0,0,2,2,6,7,0,2,1,10,27500,27500, , , , , , , ,4
72,5,2,12,-1,-1,1,1,-1,1,-1,0,3,0,0,0,0,-1,0,2,97,0,3,10,98,8,2,1,1,0,0,4,7,0,1,5,1,13750,-2, , , , , , , , 
47,3,3,17,-1,-1,2,1,-1,2,40,0,3,1,0,0,0,-1,1,2,17,17,8,18,12,12,1,1,0,1,2,1,3,1,3,3,8,45000,37500,17,17, ,40,0,1,0,0
19,1,1,12,0,-1,1,2,.0833333333333333,2,-1,0,-1,1,0,1,1,.0833333333333333,0,2,97,99,2,11,97,97,5,0,0,0,2,2,7,0,3,7,10,16250,-2, , , , , , , , 
43,3,4,16,8,60,2,5,24,2,45,1,4,1,1,1,1,16,2,2,16,17,0,21,15,98,1,1,1,0,3,4,3,1,1,1,4,82500,37500,16,16,60,45,1,1,0, 
60,5,0,11,2.5,27,0,3,2.5,1,-1,0,4,1,1,1,0,0,0,1,97,98,1,98,98,98,2,1,1,2,1,5,7,0,1,2,10,-2,-2, , , , , , , , 
48,3,2,14,-1,-1,2,1,-1,1,-1,0,-1,0,0,0,0,-1,0,3,97,0,2,10,5,4,4,0,1,0,1,9,7,0,1,7,2,13750,-2, , , , , , , ,-1
61,5,0,8,-1,-1,0,1,-1,1,-1,0,3,1,0,0,0,-1,0,3,97,0,2,8,98,8,3,1,1,1,2,22,7,0,1,5,10,9000,-2, , , , , , , , 
31,2,0,11,-1,-1,0,1,-1,1,-1,0,6,0,0,0,0,-1,0,3,97,0,2,1,11,97,5,1,0,1,2,5,7,0,2,7,11,500,-2, , , , , , , , 
34,2,0,10,-1,30,0,1,-1,1,-1,0,1,0,0,0,0,-1,0,9,97,5,0,6,98,98,5,1,0,1,1,13,7,0,2,2,4,6500,5500, , , , , , , , 
32,2,1,12,-1,40,1,1,-1,2,-1,0,-1,1,0,0,0,-1,0,3,97,12,1,13,98,97,5,0,2,2,2,7,7,0,1,1,9,21250,18750, , , , , , , , 
